Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YAL001C		27		0.0802		0.0941	0.0627	0.2240
YAL002W		54		0.0519		0.0609	0.0406	0.1553
YAL003W	45.9196			1.5184		1.7813	1.1876	1.1709
YAL004W		88		0.4518		0.5300	0.3533	0.2286
YAL005C	74.2912			1.0258		1.2034	0.8023	1.5468
YAL007C	4.2910	22	0.1352	0.0517	0.1615	0.0607	0.0404	0.0262
YAL008W	2.0494	42	0.0338	0.0323	0.0464	0.0379	0.0253	0.0151
YAL009W	1.2489							
YAL010C	0.5764	16	0.0250		0.0285			
YAL011W	0.8006			0.0942		0.1106	0.0737	0.1383
YAL012W	15.1785	47	0.2238		0.3170			
YAL013W	2.6578	14	0.1316	0.2160	0.1479	0.2534	0.1689	0.2132
YAL014C	5.5398	19	0.2021	0.1506	0.2361	0.1767	0.1178	0.0903
YAL015C	1.5371	126	0.0085		0.0179			
YAL016C-A	0.0640							
YAL016C-B								
YAL016W	3.1702	39	0.0563	0.1611	0.0758	0.1889	0.1260	0.2402
YAL017W		71		0.0587		0.0688	0.0459	0.1867
YAL018C	0.0640	48	0.0009		0.0013			
YAL019W	1.4090	15	0.0651	0.1216	0.0738	0.1427	0.0951	0.3229
YAL019W-A								
YAL020C	0.5124	40	0.0089	0.0867	0.0120	0.1017	0.0678	0.0679
YAL021C	0.8326	22	0.0262	0.1900	0.0313	0.2229	0.1486	0.3734
YAL022C	2.8820	15	0.1332		0.1509			
YAL023C	7.8454	20	0.2719	0.2604	0.3200	0.3055	0.2037	0.4641
YAL024C	0.2882	25	0.0080	0.0728	0.0098	0.0855	0.0570	0.2454
YAL025C	2.4017							
YAL026C		40						
YAL026C-A								
YAL027W		33		0.0628		0.0737	0.0491	0.0385
YAL028W	1.0887	43	0.0176		0.0242			
YAL029C	2.4017	28	0.0595	0.0680	0.0742	0.0797	0.0532	0.2347
YAL030W	5.4117	41	0.0915	0.0829	0.1247	0.0972	0.0648	0.0302
YAL031C		18		0.0802		0.0941	0.0627	0.1432
YAL031W-A								
YAL032C	0.3202	31	0.0072		0.0091			
YAL033W	1.2489	9	0.0962	0.0860	0.1038	0.1009	0.0673	0.0350
YAL034C	0.6725	45	0.0104	0.1032	0.0145	0.1211	0.0807	0.1002
YAL034C-B								
YAL034W-A	0.8326			0.2183		0.2561	0.1708	0.1484
YAL035W		27		0.2215		0.2599	0.1733	0.5212
YAL036C	3.6185	17	0.1475	0.0919	0.1697	0.1078	0.0719	0.0797
YAL037C-A	173.0151							
YAL037C-B								
YAL037W	0.1281	88	0.0010	0.0234	0.0018	0.0274	0.0183	0.0147
YAL038W		72						
YAL039C	2.6258							
YAL040C	1.5050	18	0.0580	0.1388	0.0672	0.1629	0.1086	0.1892
YAL041W	2.0814	7	0.2061	0.1160	0.2189	0.1361	0.0907	0.2326
YAL042C-A								
YAL042W	7.1089	17	0.2899	0.2082	0.3335	0.2442	0.1628	0.2030
YAL043C	0.5764	14	0.0285		0.0321			
YAL044C		40		0.1105		0.1296	0.0864	0.0442
YAL044W-A								
YAL045C		24		0.1208		0.1418	0.0945	0.0291
YAL046C	2.7859	30	0.0644	0.1647	0.0815	0.1932	0.1288	0.0458
YAL047C		15		0.0421		0.0494	0.0329	0.0615
YAL047W-A								
YAL048C	0.7045	52	0.0094	0.0612	0.0137	0.0718	0.0479	0.0952
YAL049C	3.6185	35	0.0717	0.0959	0.0939	0.1125	0.0750	0.0555
YAL051W	0.1921			0.0349		0.0409	0.0273	0.0857
YAL053W	2.6258	23	0.0791	0.0852	0.0952	0.1000	0.0666	0.1567
YAL054C	1.2809	73	0.0122	0.0498	0.0200	0.0585	0.0390	0.0834
YAL055W	1.0887	23	0.0328	0.0782	0.0395	0.0917	0.0611	0.0331
YAL056C-A								
YAL056W	1.1528							
YAL058W		16						
YAL059C-A								
YAL059W	1.5691	15	0.0725	0.1428	0.0821	0.1675	0.1117	0.0713
YAL060W	5.1876	70	0.0514		0.0832			
YAL061W	3.7786			0.0504		0.0592	0.0395	0.0494
YAL062W	0.6404	51	0.0087	0.0599	0.0126	0.0702	0.0468	0.0643
YAL063C		58						
YAL063C-A	0.0640							
YAL064C-A		29						
YAL064W								
YAL064W-B		30		0.0571		0.0670	0.0447	0.0170
YAL065C	0.0640	34	0.0013	0.0940	0.0017	0.1103	0.0735	0.0284
YAL066W	0.0640							
YAL067C	0.1921							
YAL067W-A								
YAL068C								
YAL068W-A								
YAL069W		32						
YAR002C-A	2.0814	20	0.0721	0.0773	0.0849	0.0906	0.0604	0.0398
YAR002W	1.3769	14	0.0682	0.1507	0.0766	0.1768	0.1178	0.1908
YAR003W	0.8006			0.0808		0.0948	0.0632	0.0809
YAR007C	6.5645	13	0.3500	0.0797	0.3903	0.0935	0.0623	0.1163
YAR008W	0.2562	13	0.0137	0.0240	0.0152	0.0281	0.0188	0.0155
YAR014C	2.9140	22	0.0918		0.1097			
YAR015W	8.8701	19	0.3236	0.1355	0.3780	0.1590	0.1060	0.0975
YAR018C	3.4264	7	0.3393	0.0628	0.3603	0.0737	0.0491	0.0642
YAR019C	0.9927	24	0.0287	0.0347	0.0348	0.0408	0.0272	0.0794
YAR019W-A	0.0640							
YAR020C		49						
YAR023C	0.3843							
YAR027W	1.8253	35	0.0361		0.0473			
YAR028W	1.2809	24	0.0370	0.1722	0.0449	0.2020	0.1347	0.0948
YAR029W		37		0.2057		0.2414	0.1609	0.0360
YAR030C								
YAR031W		23		0.0555		0.0652	0.0434	0.0389
YAR033W				0.0439		0.0515	0.0343	0.0242
YAR035C-A								
YAR035W		36						
YAR042W	0.8006	29	0.0191	0.1607	0.0240	0.1885	0.1256	0.4481
YAR047C	0.2562	31	0.0057		0.0073			
YAR050W		36		0.0832		0.0976	0.0650	0.3000
YAR053W		45						
YAR060C		32		0.0399		0.0468	0.0312	0.0104
YAR064W				0.0561		0.0659	0.0439	0.0131
YAR066W		41						
YAR068W		18		0.2460		0.2886	0.1924	0.0933
YAR069C								
YAR070C								
YAR071W		14						
YAR073W		25		0.0501		0.0588	0.0392	0.0475
YAR075W	0.0640	26	0.0017		0.0021			
YBL001C	7.2370	33	0.1520		0.1964			
YBL002W	18.6048	10	1.2896	0.5257	1.4037	0.6167	0.4112	0.1624
YBL003C	34.8080	7	3.4467	0.5877	3.6602	0.6894	0.4596	0.1829
YBL004W	1.4410			0.1429		0.1677	0.1118	0.8362
YBL005W	2.4657	43	0.0397	0.1129	0.0549	0.1324	0.0883	0.2587
